📊 BẢNG CHI TIẾT 7 CHƯƠNG & 28 BÀI HỌC (INNER SAFETY EXPERIENCE™)																									
STT Bài	Chương	Tên Bài Học (Title)	Dạng Bài Học & Tần Số/Trạng Thái	Mục Tiêu & Kết Quả Chuyển Hóa (Outcome)																					
1	"Chương 1: Tôi An Toàn

(Điều Hòa Hệ Thần Kinh)"	1.1. Vì sao bạn luôn bất an? Giải mã cơ chế Báo Động Sinh Tồn.  Giới thiệu tổng quan về luân xa 1	Video Lý thuyết (10p)	Hiểu cơ chế vật lý của cơ thể, dừng việc tự trách bản thân yếu đuối.																					
2		1.2. Body Reset (Beta/3D): Kỹ thuật Rung lắc & Định vị thực tại	Video Thực hành 3D (15p)	Xả nén cơ thể vật lý, dập chuông báo động, xả bớt Cortisol lập tức.																					
3		1.3. Thôi miên chữa lành luân xa 1 & Anchor "Điểm Trú Ẩn An Toàn"	Audio Hypnosis (15p)	Neo lại cảm giác an toàn vật lý và năng lượng gốc ngay trong cơ thể.																					
4		1.4. Tích hợp: Quy trình 3 phút đưa hệ thần kinh về Bình An	Audio Thực hành nhanh (5p)	Có công cụ sơ cứu bỏ túi dùng ngay mỗi khi bị kích hoạt trong ngày.																					
5	"Chương 2: Tôi Không Cần Phải Sợ

(Chữa Lành Nỗi Sợ Tiền Bạc & Sinh Tồn)"	2.1. Giải mã Kịch bản Mất An Toàn về Tiền từ Dòng Họ	Video Lý thuyết (12p)	Nhận diện các dấu ấn niềm tin thiếu thốn được di truyền từ gia đình.																					
6		2.2. Body Reset (Beta/3D): Bài tập Xả Dấu Ấn Nỗi Sợ Thiếu Thốn và các chương trình thao túng di truyền	Video Thực hành 3D (15p)	Giải phóng trạng thái co thắt cơ thể vật lý liên quan đến áp lực tài chính.																					
7		2.3. Thôi miên Money Healing: Viết "Hợp Đồng Mới" với Tiền	Audio Guided (20p)	Dịch chuyển tần số từ sợ hãi thiếu thốn sang cảm giác an tâm và đủ đầy.																					
8		2.4. Tích hợp: Bài tập Neo Cảm Giác "Tôi Đủ Đầy" Trong Đời Sống	Tài liệu Workbook + Action + Audio meditation thiền tiền 15p	Áp dụng góc nhìn tài chính mới vào các quyết định chi tiêu thực tế.																					
9	"Chương 3: Tôi Xứng Đáng

(Giải Phóng Xấu Hổ & Tự Trách)"	3.1. Phân biệt Cảm giác Có Lỗi và Cảm giác Xấu Hổ (Shame). Giới thiệu tổng quan về luân xa 2	Video Lý thuyết (10p)	Nhận diện lý do vì sao mình luôn gồng mình và sợ mình "không đủ".																					
10		3.2. Body Reset (Beta/3D): Kỹ thuật Hơi Thở Quét (Sweeping Breath)	Video Thực hành 3D (12p)	Dùng hơi thở xả bỏ khối dồn nén cảm xúc đóng băng ở ngực và bụng.																					
11		3.3. Thôi miên chữa lành luân xa 2 và Chữa lành Đứa Trẻ Bên Trong: Khôi phục Giá Trị Tự Thân	Audio Hypnosis (20p)	Tháo gỡ nhu cầu phải chứng tỏ bản thân để được công nhận.																					
12		3.4. Tích hợp: Lời Tuyên Ngôn Tự Từ Bi (Self-Compassion)	Audio Luyện tập (7p)	Dừng hẳn thói quen tự phán xét và dằn vặt mỗi khi làm sai.																					
13	"Chương 4: Tôi Làm Chủ Cảm Xúc

(Dừng Vòng Lặp Overthinking)"	4.1. Bản đồ Kích hoạt: Điều gì đang rút cạn năng lượng của bạn? Đồng thời giới thiệu tính nam tính nữ bên trong	Video Lý thuyết (12p)	Bắt bài các ngòi nổ (triggers) làm bạn bùng nổ hoặc overthinking.																					
14		4.2. Body Reset (Beta/3D): Kỹ thuật "Tách Nhập" & Quan sát Tâm trí	Video Thực hành 3D (15p)	Đưa sự chú ý về hiện tại, dừng việc bị cuốn theo các kịch bản diễn biến xấu.																					
15		4.3. Thiền Tháo Chốt Cảm Xúc Bùng Nổ & Sợ Hãi. chưa lành tính nam tính nữ và khả năng cho- nhận	Audio Guided (15p)	Cho phép cảm xúc đi qua cơ thể một cách an toàn mà không dồn nén.																					
16		4.4. Tích hợp: Nhật ký Xử lý Trigger trong 5 phút	Tài liệu Workbook + Action	Công cụ thực chiến để tự làm dịu tâm trí bất kỳ lúc nào bị kích hoạt.																					
17	"Chương 5: Tôi Có Quyền Năng

(Đánh Thức Ý Chí & Sức Mạnh Nội Tại)"	5.1. Nhận diện Năng Lượng Sinh Tồn vs Năng Lượng Kiến Tạo. Giới thiệu tổng quan về luân xa 3	Video Lý thuyết (10p)	Hiểu cách chuyển từ thái độ "chịu đựng biến cố" sang "chủ động tạo dựng".																					
18		5.2. Body Reset (Beta/3D): Bài tập Hơi Thở Lửa (Fire Breath)	Video Thực hành 3D (10p)	Đánh thức lại luồng năng lượng sống và sự minh mẫn cho cơ thể vật lý.																					
19		5.3. Thôi miên chữa lành luân xa 3 và Tái lập trình Tiềm thức: "Tôi Đủ Giỏi - Tôi Đủ Vững Vàng"	Audio Hypnosis (20p)	Cài đặt niềm tin chắc chắn vào năng lực tự đứng dậy sau vỡ vụn.																					
20		5.4. Tích hợp: Thiết lập Micro-Action (Hành động nhỏ tái sinh)	Tài liệu Workbook + Action	Thực hiện 1 hành động thực tế đầu tiên để khẳng định sự chủ động.																					
21	"Chương 6: Tôi Thu Hồi Năng Lượng

(Thiết Lập Ranh Giới Lành Mạnh)"	6.1. Energy Audit: Bạn đang rò rỉ năng lượng cho ai và việc gì?	Video Lý thuyết (12p)	Nhìn rõ các mối quan hệ và trách nhiệm ôm đồm đang rút cạn bạn.																					
22		6.2. Body Reset (Beta/3D): Kỹ thuật Cắt Dây Cáp Năng Lượng (Cord Cutting)	Video Thực hành 3D (15p)	Dừng việc gánh vác cảm xúc và trách nhiệm không thuộc về mình.																					
23		6.3. Thôi miên Cài đặt Ranh Giới An Toàn Trong Tiềm Thức	Audio Guided (15p)	Xây dựng trường năng lượng bảo vệ, không để biến cố bên ngoài làm sập.																					
24		6.4. Tích hợp: Kịch bản Nói "KHÔNG" Trong Bình An	Tài liệu Template + Action	Biết từ chối và bảo vệ bản thân mà không còn cảm giác có lỗi.																					
25	"Chương 7: Tôi Tái Sinh

(Đồng Bộ Tim - Não & Khai Mở Timeline Mới)"	7.1. Bức Tranh Toàn Cảnh: Hành trình trở thành một Cycle Breaker	Video Lý thuyết (15p)	Tổng kết sự chuyển hóa và định hình vị thế làm chủ cuộc đời.																					
26		7.2. Somatic hay là breathwork gì???	Video Thực hành 3D (15p)	Đưa toàn bộ cơ thể và tâm trí vào trạng thái hòa hợp và tối ưu nhất.																					
27		7.3. Bài thiền đồng bộ tim và não, chọn timeline mới và sống từ phiên bản đó	Audio Hypnosis (25p)	Khai mở lộ trình sống mới dựa trên An toàn nội tâm thay vì Nỗi sợ.																					
28		7.4. Tích hợp: Thiết lập Lộ trình Duy trì An Toàn Nội Tâm 21 Ngày	Tài liệu Guidebook	Bản đồ dài hạn để duy trì sự bình an bền vững sau khóa học.																					
																									
																									
																									
		Ngày 1 - Tôi An Toàn: Điều Hòa Hệ Thần Kinh																							
		Bạn sẽ hiểu vì sao cơ thể luôn trong trạng thái báo động, và học cách đưa hệ thần kinh trở về bình an - bước nền tảng trước khi làm bất cứ điều gì khác.																							
																									
		Fight – Flight – Freeze – Fawn: vì sao cơ thể phản ứng như vậy khi mất an toàn																							
		Somatic shaking & Pillar of Light 12D và Grounding để giải phóng cortisol, làm dịu hệ thần kinh																							
		Thực hành chữa lành luân xa 1 theo script 4D healing, Hóa giải nghiệp: Timeline Healing (Chữa lành dòng thời gian). Quay lại các sự kiện chấn động quá khứ để thay đổi trải nghiệm năng lượng (dấu ấn ether), giúp xóa bỏ nghiệp "không an toàn" khỏi ký ức tế bào																							
																									
		Ngày 2 - Tôi Không Còn Sợ: Chữa Lành Nỗi Sợ Về Tiền. Giải Mã Kịch Bản Sinh Tồn & Nghiệp Tổ Tiên (Luân xa 1)																							
		Bạn sẽ nhìn thấy gốc rễ của nỗi sợ thiếu thốn, và bắt đầu viết lại mối quan hệ của mình với tiền bạc.																							
																									
		Nhận diện Scarcity Mindset và niềm tin gia đình về tiền																							
		Quay 33 vòng (Pleiadian gợi ý quay từ trái sang phải 33 lần để gia tốc sự quay của các luân xa, giúp hệ thống tiếp nhận dữ liệu mới và xả bỏ các chương trình cũ), ET Tool: Sử dụng mã số 57819 để thanh lọc luân xa gốc khỏi các chương trình thao túng di truyền																							
		Thực hành Money Ritual - đối thoại và viết "hợp đồng mới" với tiền và sau đó chuyển dịch sang cảm giác đủ đầy, thay vì luôn thấy thiếu và trải nghiệm tần số đó																							
																									
		Ngày 3 - Tôi Xứng Đáng: Giải Phóng Xấu Hổ , Khôi Phục Giá Trị																							
		Bạn sẽ hiểu sự khác nhau giữa xấu hổ và cảm giác có lỗi, và bắt đầu khôi phục lại giá trị bản thân từ bên trong.																							
																									
		Phân biệt cảm giác xấu hổ và cảm giác có lỗi, thực hành yêu thương bản thân																							
		Bài tập hít thở giải phóng cảm xúc mắc kẹt trong cơ thể. Hơi thở Quét (Sweeping Breath). Hít vào và thở ra qua miệng một cách không kiểm soát để hơi thở tự động quét qua từng tế bào, giải phóng các khối u uất "đóng băng"																							
		Thực hành chữa lành luân xa 2, theo script 4d Healing, chữa lành đứa trẻ bên trong và khôi phục giá trị tự thân																							
		Tích hợp: Lời Tuyên Ngôn Tự Từ Bi (Self-Compassion)																							
																									
		Ngày 4 - Tôi Làm Chủ Cảm Xúc: Dừng Overthinking																							
		Bạn sẽ có công cụ thực tế để không bị cuốn theo cảm xúc mỗi khi bị kích hoạt, dùng được ngay trong đời sống hằng ngày.																							
																									
